model,modality,Recall@5,Precision@5,nDCG@5,MRR@5,HR@5,EFD@5,EPC@5,ARP@5,PopREO@5,PopRSP@5,ItemCoverage@5,UserCoverage@5
RerankerLightGCN,,0.3566,0.1317,0.2504,0.2683,0.5297,0.6516,0.1077,566.9856,0.765,0.9734,130.0,3776.0
RerankerItemKNN,,0.3747,0.1375,0.2674,0.2914,0.5591,0.6821,0.1134,607.7756,0.7434,0.9727,149.0,3776.0
LightGCNM,emotion,0.3404,0.1246,0.2761,0.3263,0.5079,0.6612,0.1128,616.618,0.8753,0.9857,78.0,3776.0
FeatureItemKNN,emotion,0.3512,0.129,0.2864,0.3386,0.5291,0.7179,0.1196,577.7327,0.7053,0.9638,150.0,3776.0
LightGCN,,0.3566,0.1317,0.2891,0.3398,0.5297,0.7269,0.1214,566.9856,0.765,0.9734,130.0,3776.0
LightGCNM,audio'-'textual'-'visual'-'emotion,0.3558,0.1307,0.2893,0.3404,0.5299,0.7234,0.121,551.8779,0.8083,0.977,111.0,3776.0
LightGCNM,audio'-'textual'-'visual,0.3582,0.1313,0.2904,0.3407,0.5315,0.7351,0.1222,531.92,0.7791,0.973,113.0,3776.0
FeatureItemKNN,audio'-'textual'-'visual'-'emotion,0.3708,0.1362,0.3034,0.3579,0.5553,0.7542,0.126,598.6006,0.744,0.9726,150.0,3776.0
FeatureItemKNN,audio'-'textual'-'visual,0.3759,0.1377,0.3067,0.3613,0.562,0.7624,0.1273,598.0317,0.7437,0.9722,152.0,3776.0
ItemKNN,,0.3747,0.1375,0.3077,0.3638,0.5591,0.7617,0.1275,607.7756,0.7434,0.9727,149.0,3776.0
